id,vurdering,type,navn,område,koordinater,begrundelse,vurderet,kategorier,score,antal_objekter,tæt_på_spot,auto_koordinater,osm,osm_status,fundet
k-way224113377,,,,Køge,,,,flydebro bro,5.5,6,,"55.4531892, 12.1866283",way/224113377 way/224113381 way/224113383 way/224113384 way/224113385 way/224113387,ok,2026-09-24
k-way230392350,,,,Hirtshals,,,,flydebro bro,5.5,2,,"57.5930924, 9.9578597",way/230392350 way/230392343,ok,2026-09-24
k-way234346922,på kortet,,Bro 3,Lille Grundet,,,,flydebro bro,5.5,6,vejle-kajakklub,"55.7068427, 9.5583842",way/234346922 way/234346923 way/234346924 way/234346925 way/278473586 way/582559849,ok,2026-09-24
k-way278473584,,,Bro 6,Lille Grundet,,,,flydebro bro,5.5,2,,"55.7064979, 9.5606015",way/278473584 way/409220641,ok,2026-09-24
k-way287476154,,,,Ørestad,,,,flydebro bro,5.5,1,,"55.6419986, 12.5509709",way/287476154,ok,2026-09-24
k-way293601395,,,,Ny Stavnsbøl,,,,flydebro bro,5.5,2,,"54.9430296, 9.8481429",way/293601395 way/228640931,ok,2026-09-24
k-way306576920,,,,Kammerslusen,,,,flydebro bro,5.5,4,,"55.3395023, 8.6772038",way/306576920 way/1065209235 way/1262621739 way/306576921,ok,2026-09-24
k-way308556313,,,Kajakklubben Pilen,Dragør,,,,kajakklub bro havn slæbested,5.5,7,,"55.5944403, 12.6771325",way/308556313 node/3726094582 way/287391824 way/429007260 way/450128285 way/487156878 way/980141660,ok,2026-09-24
k-way340496259,,,,Rødbyhavn,,,,flydebro bro,5.5,4,,"54.6517780, 11.3524459",way/340496259 way/1348306878 way/515037428 way/93041499,ok,2026-09-24
k-way343785851,,,,Kappelborg,,,,flydebro bro,5.5,3,,"57.7159602, 10.5901826",way/343785851 way/483487981 way/483487982,ok,2026-09-24
k-way41558535,,,,Klintholm Havn,,,,flydebro bro,5.5,7,,"54.9545460, 12.4630591",way/41558535 way/268920077 way/41558529 way/41558532 way/41558533 way/421590052 way/913804411,ok,2026-09-24
k-way448869576,,,,Novrup,,,,flydebro bro,5.5,1,,"55.4674369, 8.5268250",way/448869576,ok,2026-09-24
k-way460902945,,,,Trekroner,,,,flydebro bro,5.5,2,,"55.3807113, 8.6485212",way/460902945 way/460902946,ok,2026-09-24
k-way461978184,,,,Minde,,,,flydebro bro,5.5,5,,"54.8974470, 9.6165209",way/461978184 way/116660974 way/116660977 way/610044088 way/610044089,ok,2026-09-24
k-way487646322,,,København Vandflyveplads,Indre By,,,,flydebro bro,5.5,2,,"55.6912028, 12.6000589",way/487646322 way/819878275,ok,2026-09-24
k-way517834321,,,,Værløse,,,,flydebro bro,5.5,1,,"55.7709157, 12.3608001",way/517834321,ok,2026-09-24
k-way568408303,,,,Halsskov,,,,flydebro bro,5.5,1,,"55.3574367, 11.1446382",way/568408303,ok,2026-09-24
k-way598241785,,,,Kastrup,,,,flydebro bro,5.5,8,,"55.6432986, 12.6478338",way/598241785 way/380237708 way/429455410 way/429455412 way/429455413 way/429455414 way/429455415 way/429455420,ok,2026-09-24
k-way602799162,,,,Vesterbro,,,,flydebro bro,5.5,4,,"55.6505568, 12.5541806",way/602799162 way/602799161 way/602799163 way/602799164,ok,2026-09-24
k-way623355681,nej,flydebro,,Egå Bro,,Korte flydebro-fingre mellem bådene i den sydlige del af Egå Marina. Tæt pakket. Roklubbens spot (på kortet) ligger ca. 250 m mod nord.,2026-09-24,flydebro bro,5.5,11,,"56.2079863, 10.2890417",way/623355681 way/623355682 way/623355683 way/100430884 way/100430925 way/100430934 way/88206473 way/88206475 way/88206476 way/88206477 way/88206837,ok,2026-09-24
k-way623815354,,,,Vesterbro,,,,flydebro bro,5.5,18,,"55.6468083, 12.5453526",way/623815354 way/108849010 way/108849057 way/111585338 way/559571522 way/623815330 way/623815332 way/623815334 way/623815336 way/623815338 way/623815340 way/623815341 way/623815343 way/623815345 way/623815347 way/623815349 way/623815350 way/623815352,ok,2026-09-24
k-way626585696,,,,Ørestad,,,,flydebro bro,5.5,5,,"55.6444803, 12.5528197",way/626585696 way/294804706 way/294804707 way/608190709 way/608190721,ok,2026-09-24
k-way631317131,,,,Sønderho,,,,flydebro bro,5.5,2,,"55.3478592, 8.4749497",way/631317131 way/631317132,ok,2026-09-24
k-way647535444,,,,Avedøre Holme,,,,flydebro bro,5.5,4,,"55.6251615, 12.5033356",way/647535444 way/1304314281 way/1486863307 way/1486863308,ok,2026-09-24
k-way655061180,,,,Hellerup,,,,flydebro bro,5.5,4,,"55.7268262, 12.5855435",way/655061180 way/655061187 way/655061183 way/655061190,ok,2026-09-24
k-way682259734,,,,Bakkendrup,,,,flydebro bro,5.5,1,,"55.5746116, 11.2585510",way/682259734,ok,2026-09-24
k-way694018129,på kortet,,,Fovrfeld,,,,flydebro bro,5.5,1,spot-14,"55.4819632, 8.4096258",way/694018129,ok,2026-09-24
k-way713040934,,,,Rørbæk,,,,flydebro bro,5.5,1,,"55.9345270, 9.3213238",way/713040934,ok,2026-09-24
k-way736298832,,,,Rørdal,,,,flydebro bro,5.5,1,,"57.0539096, 9.9850813",way/736298832,ok,2026-09-24
k-way754222180,,,,Hvide Sande,,,,flydebro bro,5.5,1,,"56.0041152, 8.1309849",way/754222180,ok,2026-09-24
k-way768379701,,,Statoil,Strandby,,,,flydebro bro,5.5,1,,"55.4725892, 8.4268412",way/768379701,ok,2026-09-24
k-way771928616,,,Andehuset,Vesterbro,,,,flydebro bro,5.5,4,,"55.6550232, 12.5506380",way/771928616 way/623026382 way/630524231 way/630524232,ok,2026-09-24
k-way776569267,,,,Buresøbadet,,,,flydebro bro,5.5,1,,"55.8194204, 12.2322913",way/776569267,ok,2026-09-24
k-way828534448,,,,Frederikshavn,,,,flydebro bro,5.5,3,,"57.4305606, 10.5374272",way/828534448 way/828534449 way/933859640,ok,2026-09-24
k-way842232708,,,,Elvighøj,,,,flydebro bro,5.5,3,,"55.5160831, 9.5873449",way/842232708 way/1204705436 way/1420234468,ok,2026-09-24
k-way842232715,,,Den Flydende Shelter,Oddersted,,,,flydebro bro,5.5,1,,"55.5185047, 9.5847417",way/842232715,ok,2026-09-24
k-way876243683,måske,flydebro,,Aarhus,"56.1526648, 10.2144313",Flydebroer (16–17 m) på sydsiden af Dokk1 ved Aarhus Å's udløb. Bassinet er mindre og tæt på en bro og en kanal.,2026-09-24,flydebro bro,5.5,2,,"56.1526648, 10.2144313",way/876243683 way/876243684,ok,2026-09-24
k-way896592713,,,,Ravnstrup,,,,flydebro bro,5.5,1,,"55.2605252, 11.8670181",way/896592713,ok,2026-09-24
k-way902611147,,,,Hvide Sande,,,,flydebro bro,5.5,3,,"56.0036392, 8.1279142",way/902611147 way/1077693789 way/826277439,ok,2026-09-24
k-way903714667,måske,flydebro,,Søholt,"56.1750787, 9.5883786","Flydebro (38 m) gennem rørskoven til dybt vand på Silkeborg Langsø, men den ligger ved Silkeborg rensningsanlæg.",2026-09-24,flydebro bro,5.5,2,,"56.1751295, 9.5883947",way/903714667 way/903714666,ok,2026-09-24
k-way927878236,,,,Vesterbro,,,,flydebro bro,5.5,1,,"55.6509947, 12.5435677",way/927878236,ok,2026-09-24
k-way942147015,,,,Fårtoft,,,,flydebro bro,5.5,2,,"56.9502495, 8.7208883",way/942147015 way/1138465272,ok,2026-09-24
k-way961612664,på kortet,,,Fovrfeld,,,,flydebro bro,5.5,5,spot-14,"55.4829247, 8.4107474",way/961612664 way/694018131 way/961612662 way/963067695 way/963184003,ok,2026-09-24
k-way96295593,,,,Apholmen,,,,flydebro bro,5.5,4,,"57.4639343, 10.5381893",way/96295593 way/96295609 way/96295612 way/96295655,ok,2026-09-24
k-way963891070,,,,Nykøbing Falster,,,,flydebro bro,5.5,1,,"54.7609241, 11.8669513",way/963891070,ok,2026-09-24
k-way965614538,,,,Elhjem,,,,flydebro bro,5.5,1,,"54.9164516, 8.9590243",way/965614538,ok,2026-09-24
k-way965920747,,,,Carlsberg Byen,,,,flydebro bro,5.5,1,,"55.6501706, 12.5411655",way/965920747,ok,2026-09-24
k-node11364237382,,,Ringkøbing Ro- og Kajakklub,Ringkøbing,,,,kajakklub roklub bro,5.0,4,,"56.0933178, 8.2310835",node/11364237382 way/316318654 way/1223756186 way/1237488591,ok,2026-09-24
k-node12097188723,,,Svaneke Havnebad,Svaneke,,,,badebro havnebad badested bro havn,5.0,4,,"55.1361503, 15.1462114",node/12097188723 node/13975018586 way/255187115 way/759839140,ok,2026-09-24
k-node12350706831,på kortet,,Aabenraa Roklub,Aabenraa,,,,roklub bro slæbested,5.0,6,spot-18,"55.0413183, 9.4328945",node/12350706831 way/228649326 way/317217681 way/317212981 way/317212982 way/317222153,ok,2026-09-24
k-node12378453263,,,Tønder Roklub,Tønder,,,,kajakklub roklub bro,5.0,4,,"54.9312255, 8.8698230",node/12378453263 way/228648188 way/1338260122 way/531261116,ok,2026-09-24
k-node12422341937,på kortet,,Tange Roklub,Tange,,,,roklub bro slæbested,5.0,8,tange-roklub,"56.3500352, 9.5829580",node/12422341937 way/286591008 node/1747836905 way/286591009 way/286591010 way/903688372 way/903688373 way/903688374,ok,2026-09-24
k-node12522467728,på kortet,,Skanderborg Kano og Kajakklub,Landsbyen Sølund,,,,kajakklub udlejning bro,5.0,6,skanderborg-soebad,"56.0206607, 9.9167002",node/12522467728 way/1242187103 node/12254778544 way/901861837 way/901861838 way/901861839,ok,2026-09-24
k-node1262217593,,,Fredericia Kajakklub,Fredericia,,,,kajakklub roklub bro,5.0,4,,"55.5603232, 9.7688406",node/1262217593 way/110547534 way/232562858 way/232562859,ok,2026-09-24
k-node12761671786,,,Nybro Båd- & Kanoudlejning,Nybro,,,,kajakklub udlejning bro,5.0,4,,"55.7744183, 12.4683292",node/12761671786 way/206998872 way/393003660 way/393003661,ok,2026-09-24
k-node1293166522,,,Lyngby Roklub,Kongens Lyngby,,,,kajakklub roklub bro,5.0,6,,"55.7743663, 12.4931470",node/1293166522 way/206998907 way/316893502 way/316893504 way/391231345 way/391231346,ok,2026-09-24
k-node13011945299,på kortet,,Ry Sejlklub,Tulstrup,,,,badebro sup badested bro sejlklub,5.0,5,knudhule-lystbaadhavn-1,"56.1050497, 9.7828824",node/13011945299 node/13918472410 way/232999655 way/232999662 way/232999666,ok,2026-09-24
k-node13013586513,,,Lemvig Sejlklub,Holmsøre,,,,badebro sup badested bro sejlklub,5.0,3,,"56.5671748, 8.2967605",node/13013586513 node/13899731528 way/136299729,ok,2026-09-24
k-node13020819287,,,Kanoklubben PUST,Nybro,,,,kajakklub bro sejlklub,5.0,6,,"55.7685740, 12.4716038",node/13020819287 node/13020826593 node/13020819237 way/155614085 way/155614088 way/159916864,ok,2026-09-24
k-node13119589536,på kortet,,FK Odsherred Kajak Klub,Gundestrup,,,,kajakklub bro slæbested,5.0,3,fk-odsherred-kajak,"55.7787218, 11.6122280",node/13119589536 way/1351651262 way/673578310,ok,2026-09-24
k-node13907701456,,,Fjordbad Nibe Lystbådehavn,Nibe,,,,badebro badested bro havn slæbested,5.0,5,,"56.9885662, 9.6324412",node/13907701456 node/1147156164 node/2245065209 relation/12485109 way/94709765,ok,2026-09-24
k-node13919886374,,,Ballen,Ballen,,,,badebro badested bro havn slæbested,5.0,8,,"55.0415018, 10.4744134",node/13919886374 way/380086736 way/79941926 way/79941928 way/79941930 way/79941934 way/79941936 way/79941938,ok,2026-09-24
k-node13977142151,,,Stubberup Havn,Stubberup,,,,badebro badested bro havn slæbested,5.0,7,,"54.6638813, 11.6889832",node/13977142151 node/12471934074 way/1348306904 way/1348321337 way/1348321338 way/1348321339 way/357095127,ok,2026-09-24
k-node13977669721,,,Tårs,Tårs,,,,badebro badested bro havn slæbested,5.0,6,,"54.8783290, 11.0228811",node/13977669721 node/2246883599 way/1347816439 way/502381544 way/502381545 way/502381546,ok,2026-09-24
k-node13985350364,,,Taarbæk Søbadeanstalt,Taarbæk,,,,badebro vinterbad badested bro slæbested,5.0,7,,"55.7853566, 12.5947922",node/13985350364 way/295756185 way/43109733 way/43109734 way/43109737 way/662840346 way/914082612,ok,2026-09-24
k-node13986728755,,,Stavn,Staun,,,,badebro badested bro havn slæbested,5.0,4,,"57.0156092, 9.4887762",node/13986728755 node/7831572693 node/7831572697 way/839242907,ok,2026-09-24
k-node1940529553,,,Holstebro Roklub,Mejdal,,,,kajakklub roklub bro,5.0,4,,"56.3524862, 8.6423345",node/1940529553 node/1940529556 way/1227220801 way/1227220803,ok,2026-09-24
k-node1960226419,,,Marstal Havkajakcenter,Marstal,,,,kajakklub bro havn,5.0,7,,"54.8479686, 10.5218442",node/1960226419 way/237087514 way/237087515 way/237087518 way/237087523 way/237087524 way/61970576,ok,2026-09-24
k-node267152080,,,Svendborg roklub parkering,Vindebyøre,,,,roklub bro slæbested,5.0,5,,"55.0599366, 10.6232238",node/267152080 way/286597338 node/2909114807 way/287288809 way/355463111,ok,2026-09-24
k-node3227918065,,,Grindsted Ro- og Kajakklub,Grindsted,,,,kajakklub roklub bro,5.0,2,,"55.7560220, 8.9188447",node/3227918065 way/316647923,ok,2026-09-24
k-node3227938344,,,Jels Roklub,Jels,,,,roklub bro slæbested,5.0,4,,"55.3581047, 9.2085159",node/3227938344 way/316650454 way/316650455 way/664548147,ok,2026-09-24
k-node3227978160,på kortet,,Kolding Roklub,Strandhuse,,,,roklub bro slæbested,5.0,13,kolding-roklub,"55.5001793, 9.5143413",node/3227978160 node/3227979983 way/105970715 way/105995126 way/1037429259 way/1037429260 way/1037429261 way/1037429262 way/316654420 way/316654421 way/316654422 way/316654425 way/316654426,ok,2026-09-24
k-node3232296694,,,Hvalpsund Roklub,Hvalpsund,,,,roklub bro slæbested,5.0,6,,"56.7054241, 9.2039906",node/3232296694 node/9455373781 way/484247394 way/99023322 way/99702705 way/99702707,ok,2026-09-24
k-node3234506351,,,Bandholm Roklub,Bandholm,,,,roklub bro slæbested,5.0,8,,"54.8389316, 11.4902964",node/3234506351 node/6870018078 way/1347788804 way/1347788805 way/1347788806 way/659119626 way/733569810 way/733569812,ok,2026-09-24
k-node4457100947,,,Kiosk ved Uggerby Kanofart,Uggerby,,,,kajakklub udlejning bro,5.0,3,,"57.5672214, 10.1103567",node/4457100947 node/897734637 way/476906989,ok,2026-09-24
k-node4591728061,nej,bro,Aarhus Kanoudlejning,Frederiksbjerg,,Kanoudlejning ved Aarhus Å i Mølleparken. Åen er kun ca. 10 m bred.,2026-09-24,kajakklub udlejning bro,5.0,3,,"56.1553578, 10.1934257",node/4591728061 way/1036226742 way/1036226743,ok,2026-09-24
k-node8143723554,,,Kanokajakcenter.dk,Frederiksdal,,,,kajakklub udlejning bro,5.0,3,,"55.7807442, 12.4462660",node/8143723554 way/285376867 way/917246866,ok,2026-09-24
k-node9041558648,,,Orø Havkajak Klub,Brønde,,,,kajakklub bro havn,5.0,4,,"55.7565896, 11.8021159",node/9041558648 way/1038334510 way/161452814 way/161452815,ok,2026-09-24
k-way1302746439,nej,andet,,Hegedal,,Lille dam (ca. 150 m) med en ø ved Hegedal. Der er ingen synlig bro.,2026-09-24,flydebro,5.0,1,,"56.5013520, 10.5732946",way/1302746439,ok,2026-09-24
k-way151637242,,,Greve Roklub,Greve Strand,,,,roklub bro sejlklub,5.0,12,,"55.5670049, 12.2856579",way/151637242 way/1075501965 way/151637208 way/286252676 way/429482689 way/429482690 way/429482692 way/429482693 way/429482694 way/429482695 way/429482696 way/613466351,ok,2026-09-24
k-way184072850,,,Birkerød Roklub,Bistrup,,,,roklub bro havn,5.0,9,,"55.8160511, 12.4333153",way/184072850 node/1651311349 way/186605283 way/186605284 way/903768025 way/903768026 way/903768027 way/905335763 way/905335764,ok,2026-09-24
k-way219469555,,,Tissø Roklub,Jorløse,,,,roklub bro slæbested,5.0,3,,"55.5941002, 11.3067845",way/219469555 way/318650479 way/325997080,ok,2026-09-24
k-way219469939,på kortet,,Vordingborg Ro- og Kajakklub,Vordingborg,,,,kajakklub roklub bro,5.0,4,spot-5,"55.0040527, 11.9202276",way/219469939 way/232096140 way/232096155 way/316893032,ok,2026-09-24
k-way226954565,,,Nordborg Roklub,Holm,,,,roklub bro slæbested,5.0,9,,"55.0447782, 9.7073545",way/226954565 way/226954566 node/13452986980 node/3234607834 node/3564405267 way/293658778 way/293658779 way/317222317 way/98644899,ok,2026-09-24
k-way316640707,på kortet,,Stege Roklub,Stege,,,,roklub bro slæbested,5.0,10,spot-6,"54.9816205, 12.2824650",way/316640707 node/5260008384 way/1347044795 way/1347044796 way/316640708 way/479612494 way/544139470 way/544139471 way/544139472 way/544139473,ok,2026-09-24
k-way316644298,,,NS Roklub,Rosnæs,,,,roklub bro slæbested,5.0,3,,"54.8326644, 11.1161217",way/316644298 way/228067556 way/316644300,ok,2026-09-24
k-way316769854,,,Rudkøbing Roklub,Rudkøbing,,,,roklub bro slæbested,5.0,6,,"54.9420447, 10.7151137",way/316769854 way/1099467387 way/316769855 way/316769856 way/326494696 way/326494697,ok,2026-09-24
k-way316889164,,,Bogense Ro & Kajakklub,Bogense,,,,kajakklub roklub bro,5.0,5,,"55.5682144, 10.0814610",way/316889164 way/1002330355 way/1002330356 way/1002330357 way/1002330358,ok,2026-09-24
k-way316889611,,,Fåborg Roklub,Faaborg,,,,roklub bro slæbested,5.0,6,,"55.0927017, 10.2460870",way/316889611 way/1298703539 way/316889612 way/316889613 way/316889614 way/316889615,ok,2026-09-24
k-way316890595,på kortet,,Kerteminde Roklub,Skrækkenborg,,,,roklub bro slæbested,5.0,6,kerteminde-roklub,"55.4454638, 10.6570450",way/316890595 way/316890596 way/316890597 way/316890598 way/521737858 way/550610852,ok,2026-09-24
k-way317200569,på kortet,,Viborg Ro- og Kajakklub,Overlund,,,,kajakklub roklub bro,5.0,3,viborg-roklub,"56.4606173, 9.4226862",way/317200569 way/1209659316 way/317200567,ok,2026-09-24
k-way380897646,,,Rørvig Kajakklub,Rørvig,,,,kajakklub bro sejlklub,5.0,11,,"55.9447354, 11.7650893",way/380897646 node/4736814526 way/108740490 way/380896837 way/380896838 way/380897633 way/380897909 way/380897910 way/380897912 way/380897913 way/380897915,ok,2026-09-24
k-way500587027,,,Svendborg Kajakklub,Svendborg,,,,kajakklub bro sejlklub,5.0,6,,"55.0539315, 10.6134947",way/500587027 node/5265736653 way/1346390540 way/1346682171 way/1346682172 way/650996509,ok,2026-09-24
k-way76702839,på kortet,,Solbjerg Søsport,Solbjerg,,,,roklub bro slæbested,5.0,3,solbjerg-soesport,"56.0446288, 10.0785761",way/76702839 way/316655810 way/316655811,ok,2026-09-24
k-way911869268,,,Badeklubben Lynæs havbad,Lynæs,,,,badebro vinterbad badested bro havn,5.0,6,,"55.9409757, 11.8666330",way/911869268 node/13990357294 way/1105977585 way/110693873 way/110693877 way/110693911,ok,2026-09-24
k-way93493525,,,,Jægersborg,,,,flydebro,5.0,1,,"55.7519430, 12.5327695",way/93493525,forsvundet,2026-09-24
k-way93835005,,,Gilleleje Ro- & Kajakklub,Gilleleje,,,,kajakklub roklub bro,5.0,3,,"56.1277888, 12.3129927",way/93835005 way/93834814 way/93835006,ok,2026-09-24
k-node10783979535,,,Mornsol,Næsby,,,,kajakklub udlejning,4.5,1,,"55.4182342, 10.3776150",node/10783979535,ok,2026-09-24
k-node10940630992,,,Skjern Å Kanofart,Rørbæk,,,,kajakklub udlejning,4.5,1,,"55.9324206, 9.3394545",node/10940630992,ok,2026-09-24
k-node11166859726,,,Fiskerihavnen,Nordhavn,,,,badebro badested bro havn,4.5,5,,"55.7249006, 12.6043126",node/11166859726 relation/14258084 way/151773098 way/151773099 way/25556682,ok,2026-09-24
k-node11405078961,,,Thorsminde Coastal Roklub,Thorsminde,,,,roklub bro,4.5,8,,"56.3726960, 8.1260881",node/11405078961 way/241073682 way/903669339 way/903673418 way/903673419 way/903673420 way/903673421 way/903673422,ok,2026-09-24
k-node11417003880,,,Bur Kanoplads,Bur,,,,kajakklub bro,4.5,3,,"56.3591287, 8.4278842",node/11417003880 way/300359249 way/1231068463,ok,2026-09-24
k-node11419884322,,,Vandkraftsø Kanoplads,Mejdal,,,,kajakklub bro,4.5,4,,"56.3512452, 8.6388788",node/11419884322 way/300361987 way/1231327730 way/243224878,ok,2026-09-24
k-node11419939760,,,Tvis Å Kanoplads,Mejrup Kirkeby,,,,kajakklub bro,4.5,3,,"56.3524065, 8.6824650",node/11419939760 way/300365595 way/1231332750,ok,2026-09-24
k-node11420020170,,,Yllebjerg Kanoplads,Hodsager,,,,kajakklub bro,4.5,2,,"56.3226507, 8.8095992",node/11420020170 way/1231341241,ok,2026-09-24
k-node11422927070,,,Vandkraftværk Kanoplads,Mejdal,,,,kajakklub bro,4.5,3,,"56.3524305, 8.6365703",node/11422927070 way/300361777 way/1231693723,ok,2026-09-24
k-node11426718854,,,Frøjk Kanoplads,Vestermark,,,,kajakklub bro,4.5,3,,"56.3635045, 8.5785825",node/11426718854 way/300359874 way/1231986745,ok,2026-09-24
k-node12182629241,,,Viski - Vinterbaderne i Skive,Skive,,,,badebro vinterbad badested bro,4.5,4,,"56.5763616, 9.0517707",node/12182629241 node/14029392986 way/97705647 way/97705654,ok,2026-09-24
k-node12284864905,,,Nibe Roklub,Nibe,,,,roklub bro,4.5,3,,"56.9809758, 9.6271848",node/12284864905 way/286594255 way/286594256,ok,2026-09-24
k-node12323070958,,,Mariagerfjord Kajak,Vindø,,,,kajakklub bro,4.5,2,,"56.6382572, 9.8138997",node/12323070958 way/339973017,ok,2026-09-24
k-node12345686720,,,Sønderborg Kajakklub,Dybbøløsten,,,,kajakklub bro,4.5,6,,"54.9194685, 9.7691833",node/12345686720 way/238562774 way/1334473706 way/349912033 way/349912075 way/349912076,ok,2026-09-24
k-node12592691503,,,Hadsund Roklub,Hadsund Syd,,,,roklub bro,4.5,6,,"56.7084475, 10.1035309",node/12592691503 way/229338589 way/1464202718 way/316319192 way/626588604 way/626588606,ok,2026-09-24
k-node13274647849,,,Søbadet ved Parnas,Borød,,,,badebro vinterbad badested bro,4.5,2,,"55.4250735, 11.5376712",node/13274647849 way/565105463,ok,2026-09-24
k-node13283191791,lovende,bro,,Vrold,"56.0242506, 9.9042948",Kajakklub ved Vrold med en 79 m lang bro og en platform for enden ud i en stor sø.,2026-09-24,kajakklub bro,4.5,2,,"56.0244365, 9.9035706",node/13283191791 way/246698219,ok,2026-09-24
k-node13854250364,,,Havnsø Havnebad,Havnsø,,,,badebro havnebad badested bro,4.5,6,,"55.7546745, 11.3224567",node/13854250364 way/1272386767 way/380911534 way/98184359 way/98184361 way/98184362,ok,2026-09-24
k-node13854255325,på kortet,,Bellevue,Skolevangen,,,,badebro badested bro slæbested,4.5,6,bellevue-strand,"56.1900662, 10.2482824",node/13854255325 way/128795470 way/128795471 way/128795473 way/287296068 way/612931543,ok,2026-09-24
k-node13854313811,lovende,badebro,Vestre Søbad,Sydbyen,"56.1520793, 9.5426229","Vestre Søbad (Silkeborg) med to ringformede badebroer ud i en dyb, mørk skovsø. Masser af plads rundt om ringene.",2026-09-24,badebro vinterbad badested bro,4.5,3,,"56.1520345, 9.5435992",node/13854313811 way/88281544 relation/15770030,ok,2026-09-24
k-node13866577355,på kortet,,Færgegården,Spodsbjerg,,,,badebro badested bro slæbested,4.5,4,spot-7,"54.9320783, 10.8301167",node/13866577355 node/2870465638 way/1159311098 way/26205052,ok,2026-09-24
k-node13899700336,,,Ordrup Strand,Ordrup Strand,,,,badebro badested bro slæbested,4.5,3,,"55.8306691, 11.3955498",node/13899700336 node/1704242841 way/218811311,ok,2026-09-24
k-node13907934389,måske,bro,Tunø bådehavn,Tunø By,"55.9492902, 10.4531279","Tunø Bådehavn: lange broer (167 m og 210 m) i et lille, beskyttet havnebassin. Badestranden ved siden af har ingen bro.",2026-09-24,badebro badested bro havn,4.5,5,,"55.9499901, 10.4537716",node/13907934389 way/1358116004 way/1358116009 way/583653201 way/981925582,ok,2026-09-24
k-node13909738013,,,Thissted Søbad,Thisted,,,,badebro vinterbad badested bro,4.5,4,,"56.9518500, 8.6793012",node/13909738013 way/724083704 way/1172070163 way/1172070164,ok,2026-09-24
k-node13909827749,,,Sundby Mors Havn,Vilsund Øst,,,,badebro badested bro havn,4.5,4,,"56.8838111, 8.6384160",node/13909827749 way/1038326481 way/217721692 way/446918267,ok,2026-09-24
k-node13917849547,,,Marbæk Strand,Tørslev Hage,,,,badebro badested bro slæbested,4.5,4,,"55.8183100, 12.0654317",node/13917849547 node/3857585661 way/110888799 way/382552114,ok,2026-09-24
k-node13917889162,,,Herslev Strand,Herslev,,,,badebro badested bro sejlklub,4.5,5,,"55.6778471, 11.9871900",node/13917889162 node/9392422266 way/117889419 way/1349862057 way/1349862059,ok,2026-09-24
k-node13918478870,,,Bogense Søbad,Bogense,,,,badebro vinterbad badested bro,4.5,4,,"55.5692745, 10.0787059",node/13918478870 node/9250724455 way/253816686 way/373568560,ok,2026-09-24
k-node13919377969,,,Løverodde Strand,Skærbæk,,,,badebro badested bro havn,4.5,4,,"55.4979605, 9.6224558",node/13919377969 way/1036640454 way/1426200082 way/53849355,ok,2026-09-24
k-node13919412685,,,Hejlsminde Strand,Hejlsminde,,,,badebro badested bro slæbested,4.5,6,,"55.3620598, 9.6014237",node/13919412685 node/1129253758 way/101321956 way/101321959 way/1204918266 way/236436312,ok,2026-09-24
k-node13919427143,,,Langebro,Hellebæk,,,,badebro badested bro havn,4.5,6,,"56.0763352, 12.5472001",node/13919427143 way/1035012645 way/137309521 way/137309523 way/914340046 way/914340075,ok,2026-09-24
k-node13920372460,,,Varnæs Vig,Varnæs Vig,,,,badebro badested bro havn,4.5,3,,"55.0334663, 9.5700387",node/13920372460 way/1038336913 way/106100805,ok,2026-09-24
k-node13920386038,,,Loddenhøj Strand,Loddenhøj,,,,badebro badested bro havn,4.5,7,,"55.1045896, 9.5258589",node/13920386038 way/978391156 way/978391160 way/978391161 way/978391162 way/978391163 way/978391164,ok,2026-09-24
k-node13922020819,,,Assens Næs Strand,Assens,,,,badebro badested bro sejlklub,4.5,3,,"55.2674891, 9.8814677",node/13922020819 node/4437897662 way/263268204,ok,2026-09-24
k-node13922040792,,,Anslet Strand,Anslet Strand,,,,badebro badested bro slæbested,4.5,4,,"55.3573463, 9.6169242",node/13922040792 node/2435393603 way/232854836 way/232854837,ok,2026-09-24
k-node13975074217,,,Snogebæk Havn,Snogebæk,,,,badebro badested bro havn,4.5,3,,"55.0250216, 15.1225040",node/13975074217 node/431046809 way/37295619,ok,2026-09-24
k-node13976184842,,,Rønbjerg Strand,Rønbjerg Huse,,,,badebro badested bro slæbested,4.5,4,,"56.8931304, 9.1659175",node/13976184842 node/495272816 way/1058977147 way/1058977155,ok,2026-09-24
k-node13977279751,,,Skåningebro,Bogø By,,,,badebro badested bro havn,4.5,5,,"54.9369388, 12.0277842",node/13977279751 way/1038341973 way/1503547077 way/379042086 way/379042087,ok,2026-09-24
k-node13977666053,,,Onsevig,Onsevig,,,,badebro badested bro havn,4.5,3,,"54.9476622, 11.1070490",node/13977666053 node/2246883584 way/215286724,ok,2026-09-24
k-node13977696721,,,Revgaard,Rødvig,,,,badebro badested udlejning bro,4.5,3,,"55.2475806, 12.3612989",node/13977696721 node/9804167736 way/1067710475,ok,2026-09-24
k-node13978522999,,,Scanport badestation,Kastrup,,,,badebro badested bro havn,4.5,4,,"55.6370449, 12.6570329",node/13978522999 way/1039251391 way/367512403 way/993463611,ok,2026-09-24
