id,vurdering,type,navn,område,koordinater,begrundelse,vurderet,kategorier,score,antal_objekter,tæt_på_spot,auto_koordinater,osm,osm_status,fundet
k-node1342048585,,,Kajakgaarden,Kolding,,,,kajakklub bro havn sejlklub slæbested,6.0,7,,"55.4947509, 9.4975223",node/1342048585 node/1342048586 node/1342048665 way/118700947 way/1224026966 way/29323991 way/29323992,ok,2026-09-24
k-node13981131773,,,Badebro ved Holte Roklub,Holte,,,,kajakklub roklub badebro badested bro,6.0,12,,"55.8156776, 12.4585226",node/13981131773 way/27349144 way/359601665 way/251833303 way/326272766 way/442904642 way/442904643 way/442904644 way/442904645 way/442904646 way/442904647 way/903768023,ok,2026-09-24
k-node3227948284,,,Juelsminde Sejlklub,Juelsminde,,,,roklub bro havn sejlklub slæbested,6.0,8,,"55.7154796, 10.0159077",node/3227948284 node/1313527746 node/9570159979 way/116537083 way/116537088 way/116537092 way/116537093 way/77512512,ok,2026-09-24
k-node7172135199,,,Jegindø Havn Nord,Bøl,,,,flydebro bro slæbested,6.0,8,,"56.6528827, 8.6375415",node/7172135199 way/1240379952 way/1240379950 way/1240379951 way/221619745 way/221619752 way/416998399 way/617288970,ok,2026-09-24
k-node8452973341,,,Varde Roklub,Kongsgård,,,,kajakklub roklub sup bro sejlklub,6.0,13,,"55.6165592, 8.4753272",node/8452973341 way/1308662112 way/316656737 way/316656738 way/378105253 way/778213846 way/902530005 way/902530006 way/902530007 way/902530008 way/902530009 way/902530010 way/902530011,ok,2026-09-24
k-node9788198881,nej,flydebro,Sol og Vandtrappen i Bjerringbro,Sønderbro,,"Lille flydebro ved vandtrappen i Bjerringbro, men Gudenåen er kun ca. 30–35 m bred her og har strøm.",2026-09-24,flydebro bro slæbested,6.0,5,,"56.3714805, 9.6588481",node/9788198881 node/8972495306 way/658119824 way/658119828 way/658119830,ok,2026-09-24
k-node9873751265,,,Arresø Flydeshelter,Nordhuse,,,,flydebro bro havn,6.0,6,,"55.9891964, 12.0847060",node/9873751265 node/9873751266 way/1076758336 way/251579842 way/903647572 way/903647573,ok,2026-09-24
k-node9999634113,,,Ravning Kano og Opholdsbro,Vork,,,,flydebro kajakklub bro,6.0,2,,"55.6715122, 9.3479265",node/9999634113 way/1091848931,ok,2026-09-24
k-way1009641272,,,3,Dragerup,,,,flydebro bro havn,6.0,6,,"55.7235859, 11.7590098",way/1009641272 way/212720564 way/212720574 node/2250804880 way/212720572 way/524172732,ok,2026-09-24
k-way1028763900,på kortet,,Bro 6,Aarhus,,,,flydebro bro slæbested,6.0,7,fiskerikajen-aarhus,"56.1651531, 10.2213196",way/1028763900 way/1028764509 way/40773453 way/41206003 way/278984143 way/41206000 way/487646315,ok,2026-09-24
